Frequency,Power
0.000000000000000000e+00,4.720939303518185392e+06
5.000000000000000104e-04,1.185345950703610666e+07
1.000000000000000021e-03,1.036127616762020811e+07
1.500000000000000031e-03,1.655562513924064813e+06
2.000000000000000042e-03,1.971842562650276581e+06
2.500000000000000052e-03,1.259031700489262585e+06
3.000000000000000062e-03,7.947384817751219089e+04
3.500000000000000073e-03,2.371871931503841770e+05
4.000000000000000083e-03,2.782028100361557154e+04
4.500000000000000527e-03,6.356894684180739569e+04
5.000000000000000104e-03,1.166723785712765384e+05
5.499999999999999681e-03,1.530489026008316723e+05
6.000000000000000125e-03,4.080924729979148105e+04
6.500000000000000569e-03,3.245140543623492704e+04
7.000000000000000146e-03,3.090388519122752477e+05
7.499999999999999722e-03,1.875679828279596695e+05
8.000000000000000167e-03,1.793245496103940241e+05
8.500000000000000611e-03,4.732829826358780701e+04
9.000000000000001055e-03,6.520598617260188621e+04
9.499999999999999764e-03,1.655301653622767190e+05
1.000000000000000021e-02,4.739860525235703244e+04
1.050000000000000065e-02,1.637024956999413553e+05
1.099999999999999936e-02,2.331628602477047025e+04
1.149999999999999981e-02,1.743858819270108870e+04
1.200000000000000025e-02,5.750351543833023607e+04
1.250000000000000069e-02,4.966776599748175067e+04
1.300000000000000114e-02,9.685306186472822446e+04
1.349999999999999985e-02,7.286552338574320311e+04
1.400000000000000029e-02,1.123051505734606144e+04
1.450000000000000074e-02,1.789119965709438839e+04
1.499999999999999944e-02,2.843038837904646789e+04
1.549999999999999989e-02,2.710045615251202616e+04
1.600000000000000033e-02,6.207413777416154517e+03
1.650000000000000078e-02,8.045780467278616470e+02
1.700000000000000122e-02,8.468823216889044488e+03
1.750000000000000167e-02,9.077423405828449177e+03
1.800000000000000211e-02,2.622767449761838066e+02
1.849999999999999908e-02,6.768752833527741132e+03
1.899999999999999953e-02,4.948455340449369032e+03
1.949999999999999997e-02,1.542478091626628520e+04
2.000000000000000042e-02,3.240266811015615076e+03
2.050000000000000086e-02,9.040107805345311135e+03
2.100000000000000130e-02,3.034215277580817565e+04
2.150000000000000175e-02,3.125212625438618488e+04
2.199999999999999872e-02,5.471254044282487484e+03
2.249999999999999917e-02,4.634400354945864819e+03
2.299999999999999961e-02,3.448421410643922627e+03
2.350000000000000006e-02,5.403135996207279277e+03
2.400000000000000050e-02,7.702002840017968083e+03
2.450000000000000094e-02,4.727748310807112830e+03
2.500000000000000139e-02,8.332322098213844583e+03
2.550000000000000183e-02,2.609914050593035427e+03
2.600000000000000228e-02,6.112440014119739317e+03
2.649999999999999925e-02,6.512446341862551890e+03
2.699999999999999969e-02,9.148647739383910448e+03
2.750000000000000014e-02,3.498222551536688115e+04
2.800000000000000058e-02,2.433413969297794756e+04
2.850000000000000103e-02,3.130314219825725104e+03
2.900000000000000147e-02,6.625204983088401605e+03
2.950000000000000192e-02,1.428711508044349648e+04
2.999999999999999889e-02,1.158483262103019479e+04
3.049999999999999933e-02,1.178374177050745857e+03
3.099999999999999978e-02,2.309282879871377190e+03
3.150000000000000022e-02,6.260991187012829869e+03
3.200000000000000067e-02,1.570262145182494896e+04
3.250000000000000111e-02,1.997133181112473039e+03
3.300000000000000155e-02,2.864780954794998706e+03
3.350000000000000200e-02,4.946383773273771112e+03
3.400000000000000244e-02,1.816553533468869136e+04
3.450000000000000289e-02,1.842688188638769498e+04
3.500000000000000333e-02,3.220127487539452886e+03
3.550000000000000377e-02,4.289125454128818092e+03
3.600000000000000422e-02,1.642073413423607917e+03
3.649999999999999772e-02,2.442493803587870843e+03
3.699999999999999817e-02,6.726536422665218424e+02
3.749999999999999861e-02,4.030089061011989543e+03
3.799999999999999906e-02,2.227324278906024119e+03
3.849999999999999950e-02,7.639081779630762412e+02
3.899999999999999994e-02,8.386356716758360562e+03
3.950000000000000039e-02,4.679863686773624067e+03
4.000000000000000083e-02,9.729794117275623648e+03
4.050000000000000128e-02,9.276961830338725122e+03
4.100000000000000172e-02,1.682150232282369188e+03
4.150000000000000216e-02,7.694473255248967689e+02
4.200000000000000261e-02,6.183503963486777138e+03
4.250000000000000305e-02,1.919097785270671920e+03
4.300000000000000350e-02,7.899814000179128470e+02
4.350000000000000394e-02,5.699640950144276758e+03
4.399999999999999745e-02,1.297254763267415365e+04
4.449999999999999789e-02,1.608686671605343145e+04
4.499999999999999833e-02,7.065223419985713008e+03
4.549999999999999878e-02,2.712207512434151340e+03
4.599999999999999922e-02,5.170944449914033612e+03
4.649999999999999967e-02,2.447738796800220371e+03
4.700000000000000011e-02,4.160491531797902098e+02
4.750000000000000056e-02,1.457730708044580865e+02
4.800000000000000100e-02,2.839526992415398581e+03
4.850000000000000144e-02,1.923609534706518787e+02
4.900000000000000189e-02,5.089074424630854992e+03
4.950000000000000233e-02,1.669622135400272600e+04
5.000000000000000278e-02,7.079328064909146633e+03
5.050000000000000322e-02,1.473791433243707161e+02
5.100000000000000366e-02,7.530581118136709620e+02
5.150000000000000411e-02,1.524847602205360602e+02
5.200000000000000455e-02,1.993260300694942998e+03
5.249999999999999806e-02,2.606900088225657328e+03
5.299999999999999850e-02,1.385484964816609818e+03
5.349999999999999895e-02,1.163612241958515597e+03
5.399999999999999939e-02,5.427275839515716598e+02
5.449999999999999983e-02,4.949662384305858723e+03
5.500000000000000028e-02,1.449585135099409626e+03
5.550000000000000072e-02,8.663040225584278176e+01
5.600000000000000117e-02,2.282457122367080444e+02
5.650000000000000161e-02,1.492879476967242226e+03
5.700000000000000205e-02,2.554132905037150067e+03
5.750000000000000250e-02,7.620513936240009798e+02
5.800000000000000294e-02,6.696045904293356443e+02
5.850000000000000339e-02,1.060760490362576093e+03
5.900000000000000383e-02,7.639122668502988063e+02
5.950000000000000427e-02,5.998509802024940427e+02
5.999999999999999778e-02,5.209041082107482907e+02
6.049999999999999822e-02,4.339150882518105163e+02
6.099999999999999867e-02,5.183427471626831675e+02
6.149999999999999911e-02,7.283505254601195702e+02
6.199999999999999956e-02,1.455832716876379209e+03
6.250000000000000000e-02,1.207333687820267642e+03
6.300000000000000044e-02,3.687919048936848299e+01
6.350000000000000089e-02,5.500199070045924827e+02
6.400000000000000133e-02,2.019013448113674656e+02
6.450000000000000178e-02,2.302501033558492054e+03
6.500000000000000222e-02,8.601325498847687413e+03
6.550000000000000266e-02,7.211903637589193750e+03
6.600000000000000311e-02,6.467662594644370074e+03
6.650000000000000355e-02,6.586012757365760990e+02
6.700000000000000400e-02,1.286470198107409715e+03
6.750000000000000444e-02,4.667571979166318101e+02
6.800000000000000488e-02,9.792396897813863461e+02
6.850000000000000533e-02,1.252050585991688877e+03
6.900000000000000577e-02,2.305239444812008060e+03
6.950000000000000622e-02,4.493132158768528939e+02
7.000000000000000666e-02,5.796834244048441178e+02
7.050000000000000711e-02,1.583189013958696933e+03
7.100000000000000755e-02,1.155684044693248097e+03
7.150000000000000799e-02,1.483592569367080387e+03
7.200000000000000844e-02,6.466006289259397590e+02
7.249999999999999500e-02,3.530405815782476253e+01
7.299999999999999545e-02,2.607470424284011301e+01
7.349999999999999589e-02,4.688006583600660520e+02
7.399999999999999634e-02,6.207978019328749042e+02
7.449999999999999678e-02,3.735885063080759210e+02
7.499999999999999722e-02,3.594472008109803483e+02
7.549999999999999767e-02,2.812500936913510031e+03
7.599999999999999811e-02,5.352694268586965336e+03
7.649999999999999856e-02,3.148550615686111996e+03
7.699999999999999900e-02,2.209937589144335561e+03
7.749999999999999944e-02,1.777366544835613468e+03
7.799999999999999989e-02,3.363780572706232874e+02
7.850000000000000033e-02,3.675921321146287823e+02
7.900000000000000078e-02,1.259423844837304159e+03
7.950000000000000122e-02,1.196961402913205120e+03
8.000000000000000167e-02,4.784756107030447083e+02
8.050000000000000211e-02,1.428392225436447802e+02
8.100000000000000255e-02,1.987108736568411871e+02
8.150000000000000300e-02,9.096529040120699392e+02
8.200000000000000344e-02,3.830861360065717918e+02
8.250000000000000389e-02,1.967572034411450886e+03
8.300000000000000433e-02,6.377837716733023399e+01
8.350000000000000477e-02,3.364431643512551545e+03
8.400000000000000522e-02,3.551830356935577583e+03
8.450000000000000566e-02,2.321958909458160633e+03
8.500000000000000611e-02,8.087679329516980715e+02
8.550000000000000655e-02,9.349285426939613330e+01
8.600000000000000699e-02,1.490371154613550289e+03
8.650000000000000744e-02,2.757475379935945057e+03
8.700000000000000788e-02,2.737702868087559182e+03
8.750000000000000833e-02,3.564442348236891576e+02
8.799999999999999489e-02,2.475958614717267210e+02
8.849999999999999534e-02,3.682074297693023937e+02
8.899999999999999578e-02,8.924486320577537981e+02
8.949999999999999623e-02,1.843845451657325384e+03
8.999999999999999667e-02,1.415465902669604645e+02
9.049999999999999711e-02,1.519616958887090050e+03
9.099999999999999756e-02,7.287704300368749273e+02
9.149999999999999800e-02,6.204893778484629365e+02
9.199999999999999845e-02,3.738564453446968514e+02
9.249999999999999889e-02,3.348629343603904090e+03
9.299999999999999933e-02,3.404836588323047636e+03
9.349999999999999978e-02,1.532694546139543945e+03
9.400000000000000022e-02,1.955728390605819129e+02
9.450000000000000067e-02,1.095291451661683823e+03
9.500000000000000111e-02,4.763876794127605763e+01
9.550000000000000155e-02,4.624603802633107534e+02
9.600000000000000200e-02,5.411616881925491498e+02
9.650000000000000244e-02,9.865666742235244158e+01
9.700000000000000289e-02,1.378747481899306706e+02
9.750000000000000333e-02,5.312194763253902465e+02
9.800000000000000377e-02,1.997425770530005366e+03
9.850000000000000422e-02,1.244845590549702365e+03
9.900000000000000466e-02,3.101865806239311496e+02
9.950000000000000511e-02,3.912108025250335572e+02
1.000000000000000056e-01,1.608959029470025143e+03
1.005000000000000060e-01,8.861759893148556557e+02
1.010000000000000064e-01,1.987678523782542698e+03
1.015000000000000069e-01,1.733540243264811352e+03
1.020000000000000073e-01,1.073089304802025254e+03
1.025000000000000078e-01,4.739203179548112210e+00
1.030000000000000082e-01,2.038028751323417396e+02
1.035000000000000087e-01,2.064075546384576398e+02
1.040000000000000091e-01,2.205382273727297616e+03
1.044999999999999957e-01,2.176563606408188662e+03
1.049999999999999961e-01,2.004569858014102010e+03
1.054999999999999966e-01,2.560631908347213539e+03
1.059999999999999970e-01,2.601430797844727749e+02
1.064999999999999974e-01,2.979515031537837331e+02
1.069999999999999979e-01,3.888937348621048073e+01
1.074999999999999983e-01,9.438057610583764756e+01
1.079999999999999988e-01,7.478460405605120798e+01
1.084999999999999992e-01,1.413851943936423972e+01
1.089999999999999997e-01,1.663854910549534054e+02
1.095000000000000001e-01,2.540302097519027939e+03
1.100000000000000006e-01,3.195774429030965621e+03
1.105000000000000010e-01,2.208557364919421161e+03
1.110000000000000014e-01,1.845136621873679815e+03
1.115000000000000019e-01,2.845225382496291786e+03
1.120000000000000023e-01,1.092123613825193047e+02
1.125000000000000028e-01,1.076085905298680245e+03
1.130000000000000032e-01,2.237291452338685005e+01
1.135000000000000037e-01,5.022649812812124992e+02
1.140000000000000041e-01,1.435297697374984125e+02
1.145000000000000046e-01,5.174822687222764728e+01
1.150000000000000050e-01,8.939802697821526181e+02
1.155000000000000054e-01,1.995895742718735391e+03
1.160000000000000059e-01,7.032204121635222691e+02
1.165000000000000063e-01,9.058280096175888048e+02
1.170000000000000068e-01,1.092215023561955149e+02
1.175000000000000072e-01,3.567082332853277080e+02
1.180000000000000077e-01,2.179997384959816316e+02
1.185000000000000081e-01,6.718273056666320144e+02
1.190000000000000085e-01,7.270116902414658853e+02
1.195000000000000090e-01,5.012733833913576404e+02
1.199999999999999956e-01,9.776935021924471130e+02
1.204999999999999960e-01,6.677070953747072508e+02
1.209999999999999964e-01,1.394965446191437479e+02
1.214999999999999969e-01,6.103257055791550556e+02
1.219999999999999973e-01,1.432104536015122449e+03
1.224999999999999978e-01,1.028172176583023429e+03
1.229999999999999982e-01,1.122472181225244185e+03
1.234999999999999987e-01,1.236038033504597934e+03
1.239999999999999991e-01,8.730720368361962755e+02
1.244999999999999996e-01,7.801886572939586131e+02
1.250000000000000000e-01,9.420024875253649554e+01
1.255000000000000004e-01,1.666684630251807448e+03
1.260000000000000009e-01,1.312505602235042033e+03
1.265000000000000013e-01,1.755607082734626943e+02
1.270000000000000018e-01,2.915194593407500179e+02
1.275000000000000022e-01,3.453235192086644929e+02
1.280000000000000027e-01,2.399594658417678147e+03
1.285000000000000031e-01,7.636918624931003023e+02
1.290000000000000036e-01,5.043949420606792273e+02
1.295000000000000040e-01,9.793185999704634526e+01
1.300000000000000044e-01,9.865545867595751872e+01
1.305000000000000049e-01,3.227970123509819587e+02
1.310000000000000053e-01,3.287365712631616930e+02
1.315000000000000058e-01,8.223032888464649659e+01
1.320000000000000062e-01,2.485571763224074715e+01
1.325000000000000067e-01,2.686796940154635536e+02
1.330000000000000071e-01,1.108738427184209741e+03
1.335000000000000075e-01,8.100368544353932521e+02
1.340000000000000080e-01,4.252792497710719317e+02
1.345000000000000084e-01,1.657401113582856397e+03
1.350000000000000089e-01,1.092985852159580190e+03
1.355000000000000093e-01,4.633980791747983403e+02
1.360000000000000098e-01,2.200298475392471289e+02
1.365000000000000102e-01,7.476005405253415574e+02
1.370000000000000107e-01,5.815288893096468428e+02
1.375000000000000111e-01,5.989268553609658738e+02
1.380000000000000115e-01,4.812478561293360144e+02
1.385000000000000120e-01,1.197494059232013974e+01
1.390000000000000124e-01,7.788844761994023429e+02
1.395000000000000129e-01,8.941045627464518475e+02
1.400000000000000133e-01,3.586502852837699606e+02
1.405000000000000138e-01,1.302303986060517005e+01
1.410000000000000142e-01,8.518247792616980618e+00
1.415000000000000147e-01,5.193145303063484874e+00
1.420000000000000151e-01,5.279028380032858649e+02
1.425000000000000155e-01,1.992925334243056454e+02
1.430000000000000160e-01,1.655456060367232283e+02
1.435000000000000164e-01,7.149093605486549450e+02
1.440000000000000169e-01,2.259133302218477581e+02
1.444999999999999896e-01,6.417516624762187405e+01
1.449999999999999900e-01,6.022138960291382546e+02
1.454999999999999905e-01,6.305394711105279839e+02
1.459999999999999909e-01,1.133289162601633109e+02
1.464999999999999913e-01,7.137438691118377392e+02
1.469999999999999918e-01,3.705063422516224136e+02
1.474999999999999922e-01,1.236352249228019218e+03
1.479999999999999927e-01,1.699107753587373963e+03
1.484999999999999931e-01,1.782290623087797712e+03
1.489999999999999936e-01,3.095920989276424962e+02
1.494999999999999940e-01,1.384134690536283472e+02
1.499999999999999944e-01,2.688076566804235767e+02
1.504999999999999949e-01,6.259708114636273422e+02
1.509999999999999953e-01,3.672084815200788626e+02
1.514999999999999958e-01,4.089724128557804761e+02
1.519999999999999962e-01,9.381007718383555130e+02
1.524999999999999967e-01,7.513951133630039294e+02
1.529999999999999971e-01,5.588902649152350932e+02
1.534999999999999976e-01,3.808086144003502795e+02
1.539999999999999980e-01,3.756078927138261747e+02
1.544999999999999984e-01,3.932347042750914312e+01
1.549999999999999989e-01,9.577843750107294341e+01
1.554999999999999993e-01,9.686746264678787099e+01
1.559999999999999998e-01,1.321895587699376406e+01
1.565000000000000002e-01,3.746018481855654727e+02
1.570000000000000007e-01,5.173329223829146031e+02
1.575000000000000011e-01,2.450986388548085131e+02
1.580000000000000016e-01,8.060844066614986048e+01
1.585000000000000020e-01,3.798932702177383476e+02
1.590000000000000024e-01,2.099183151087491410e+02
1.595000000000000029e-01,1.283222805661251641e+03
1.600000000000000033e-01,4.998572023377183768e+02
1.605000000000000038e-01,9.832929772183538262e+02
1.610000000000000042e-01,3.434514885935133748e+02
1.615000000000000047e-01,4.688643698477643511e+02
1.620000000000000051e-01,6.142929631757451716e+02
1.625000000000000056e-01,7.554647901516477759e+02
1.630000000000000060e-01,1.113567259815495163e+03
1.635000000000000064e-01,3.649559214234885758e+02
1.640000000000000069e-01,1.241628619416818680e+01
1.645000000000000073e-01,2.905833973116172047e+02
1.650000000000000078e-01,1.699819320934230120e+02
1.655000000000000082e-01,4.599285951920378466e+02
1.660000000000000087e-01,1.991012531847166045e+01
1.665000000000000091e-01,5.289899221623219319e+02
1.670000000000000095e-01,6.563213814510725115e+02
1.675000000000000100e-01,2.006608900506898010e+02
1.680000000000000104e-01,1.143485250227608276e+03
1.685000000000000109e-01,2.417265673279292173e+02
1.690000000000000113e-01,9.268185801587466131e+02
1.695000000000000118e-01,8.987231879551997054e+02
1.700000000000000122e-01,2.124696717958509851e+02
1.705000000000000127e-01,4.252423565462722763e+02
1.710000000000000131e-01,8.006566045662519855e+02
1.715000000000000135e-01,3.175416797377941407e+02
1.720000000000000140e-01,1.421793337437227365e+02
1.725000000000000144e-01,3.795646918519429960e+02
1.730000000000000149e-01,4.844373999398579258e+02
1.735000000000000153e-01,3.619389135755027382e+02
1.740000000000000158e-01,2.923649883197033432e+02
1.745000000000000162e-01,3.790447537891670322e+02
1.750000000000000167e-01,1.954752018780307026e+02
1.755000000000000171e-01,2.995792314325085304e+00
1.759999999999999898e-01,3.011255165611712528e+02
1.764999999999999902e-01,1.679285910961147295e+02
1.769999999999999907e-01,1.337693062989723387e+02
1.774999999999999911e-01,4.019881474308018596e+02
1.779999999999999916e-01,3.731212663263520994e+02
1.784999999999999920e-01,3.551766341386263548e+02
1.789999999999999925e-01,1.800792176585358959e+02
1.794999999999999929e-01,4.003404044381343851e+02
1.799999999999999933e-01,1.396698211385579214e+02
1.804999999999999938e-01,2.479718511372240073e+02
1.809999999999999942e-01,4.803791113841877625e+00
1.814999999999999947e-01,5.872416591352680371e+01
1.819999999999999951e-01,2.227175139668792951e+02
1.824999999999999956e-01,4.284618829431232143e+02
1.829999999999999960e-01,6.964270586508504266e+02
1.834999999999999964e-01,2.818318257493655778e+02
1.839999999999999969e-01,1.070514633691672771e+03
1.844999999999999973e-01,3.592236655539443859e+02
1.849999999999999978e-01,2.620417775940831007e+02
1.854999999999999982e-01,1.588480937895717737e+01
1.859999999999999987e-01,1.860947843160550406e+02
1.864999999999999991e-01,3.462957226860623905e+02
1.869999999999999996e-01,2.576675194572524106e+02
1.875000000000000000e-01,5.807768611508585082e+02
1.880000000000000004e-01,1.613473606895800856e+02
1.885000000000000009e-01,6.372853665821766072e+02
1.890000000000000013e-01,1.887936518810513746e+02
1.895000000000000018e-01,4.272434200041203667e+02
1.900000000000000022e-01,2.741400076045352421e+02
1.905000000000000027e-01,7.540154715188860735e+01
1.910000000000000031e-01,1.669324796894819372e+02
1.915000000000000036e-01,1.373352365021682147e+02
1.920000000000000040e-01,7.286239837842731504e+01
1.925000000000000044e-01,2.855031576653921093e+02
1.930000000000000049e-01,9.970250229688467698e+02
1.935000000000000053e-01,1.298910082332958154e+03
1.940000000000000058e-01,9.667465618275826955e+02
1.945000000000000062e-01,5.583364917150183828e+02
1.950000000000000067e-01,4.009369416314586942e+01
1.955000000000000071e-01,6.860338509934236129e+01
1.960000000000000075e-01,4.866452519498133000e+01
1.965000000000000080e-01,2.417570824835841847e+01
1.970000000000000084e-01,4.722474647655780018e+02
1.975000000000000089e-01,2.551111361874157524e+02
1.980000000000000093e-01,2.536958192531704412e+02
1.985000000000000098e-01,6.132251015060737700e+02
1.990000000000000102e-01,9.852792321203271513e+02
1.995000000000000107e-01,7.214170735541554222e+02
2.000000000000000111e-01,2.165312216822551079e+02
2.005000000000000115e-01,1.429439058171565478e+02
2.010000000000000120e-01,1.248752784740378701e+02
2.015000000000000124e-01,4.250183986777196878e+02
2.020000000000000129e-01,1.764372557209690626e+02
2.025000000000000133e-01,2.994904757953556782e+02
2.030000000000000138e-01,5.204678073119562214e+02
2.035000000000000142e-01,4.544658149382805163e+02
2.040000000000000147e-01,3.684206901096816864e+02
2.045000000000000151e-01,2.745881361384063553e+02
2.050000000000000155e-01,5.605051307674483496e+02
2.055000000000000160e-01,4.124012968759652722e+02
2.060000000000000164e-01,1.816598103379348913e+03
2.065000000000000169e-01,1.260292601191189306e+03
2.070000000000000173e-01,1.414258657626509375e+03
2.075000000000000178e-01,5.172381146266943688e+02
2.080000000000000182e-01,4.826348122648740002e+01
2.084999999999999909e-01,6.773588377681960537e+01
2.089999999999999913e-01,4.001111504659174045e+01
2.094999999999999918e-01,7.470340472783367147e+01
2.099999999999999922e-01,8.526407014785453597e+00
2.104999999999999927e-01,3.219109701680537228e+01
2.109999999999999931e-01,2.180408920906726848e+02
2.114999999999999936e-01,1.086393840856426181e+02
2.119999999999999940e-01,1.060068779187352916e+01
2.124999999999999944e-01,1.881684176754295095e+02
2.129999999999999949e-01,6.087964566693170099e+01
2.134999999999999953e-01,1.802527363059340360e+02
2.139999999999999958e-01,3.491910095058386787e+02
2.144999999999999962e-01,3.516370910651386907e+02
2.149999999999999967e-01,3.742771274378320641e+02
2.154999999999999971e-01,1.911043981343175915e+02
2.159999999999999976e-01,2.186394846284472351e+02
2.164999999999999980e-01,2.109447194495791109e+02
2.169999999999999984e-01,3.947785831300531072e+02
2.174999999999999989e-01,5.090121219124785057e+02
2.179999999999999993e-01,2.722309937130075355e+02
2.184999999999999998e-01,1.952816554845512371e+02
2.190000000000000002e-01,6.673892925039982060e+01
2.195000000000000007e-01,1.929954651867652515e+01
2.200000000000000011e-01,6.941721976462197290e+02
2.205000000000000016e-01,1.351014573147591136e+03
2.210000000000000020e-01,1.505301623035657258e+03
2.215000000000000024e-01,6.268927573451537683e+02
2.220000000000000029e-01,3.008640799775512278e+02
2.225000000000000033e-01,3.233798596632132103e+02
2.230000000000000038e-01,3.116602136077523824e+02
2.235000000000000042e-01,3.700373024242524789e+00
2.240000000000000047e-01,4.707032741938443365e+01
2.245000000000000051e-01,5.776285749507385390e+02
2.250000000000000056e-01,6.865260757538466407e+01
2.255000000000000060e-01,4.399814135870813629e+02
2.260000000000000064e-01,2.860016526894607978e+02
2.265000000000000069e-01,1.561568787281181692e+01
2.270000000000000073e-01,1.114001582632430427e+02
2.275000000000000078e-01,1.529405927909861589e+02
2.280000000000000082e-01,1.804092880976190116e+01
2.285000000000000087e-01,1.095199650073174809e+02
2.290000000000000091e-01,3.545781455473725714e+02
2.295000000000000095e-01,1.593961047399871802e+02
2.300000000000000100e-01,6.150200914492604198e+01
2.305000000000000104e-01,2.056966115932467574e+02
2.310000000000000109e-01,1.329785517019468166e+01
2.315000000000000113e-01,8.745022389791911621e+01
2.320000000000000118e-01,2.134496220022439559e+02
2.325000000000000122e-01,1.612548543194906614e+01
2.330000000000000127e-01,1.387665606537066481e+02
2.335000000000000131e-01,7.675464468271384249e+02
2.340000000000000135e-01,1.391283763210240295e+03
2.345000000000000140e-01,1.074468035806232137e+03
2.350000000000000144e-01,6.607887416960711562e+02
2.355000000000000149e-01,1.683706856864694430e+02
2.360000000000000153e-01,3.872967825077330417e+02
2.365000000000000158e-01,3.716845202172084441e+02
2.370000000000000162e-01,6.633238751230302341e+02
2.375000000000000167e-01,3.499741018838678883e+02
2.380000000000000171e-01,4.276730782720665047e+01
2.385000000000000175e-01,8.421572880351455126e+01
2.390000000000000180e-01,1.522676750094346119e+02
2.395000000000000184e-01,2.615738985525796352e+02
2.399999999999999911e-01,1.236904607482170348e+02
2.404999999999999916e-01,6.138460044066425780e+02
2.409999999999999920e-01,2.852777808505430244e+02
2.414999999999999925e-01,2.861141059894643490e+01
2.419999999999999929e-01,1.526232695670878172e+02
2.424999999999999933e-01,1.721006989449814171e+02
2.429999999999999938e-01,2.397840936519300499e+02
2.434999999999999942e-01,4.091222916218367089e+01
2.439999999999999947e-01,2.935071143717453523e+01
2.444999999999999951e-01,1.556150098395121120e+02
2.449999999999999956e-01,4.693682015661590867e+02
2.454999999999999960e-01,2.989201447193090644e+02
2.459999999999999964e-01,1.384979206723490108e+02
2.464999999999999969e-01,3.995923320160821390e+02
2.469999999999999973e-01,4.553883868804187500e+02
2.474999999999999978e-01,7.809811457418126110e+02
2.479999999999999982e-01,5.169844549498075139e+02
2.484999999999999987e-01,2.486027778527676162e+02
2.489999999999999991e-01,3.439019697975486451e+02
2.494999999999999996e-01,1.638443532830637253e+02
